Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
92,184,303,2024-09-07,6,39.42
93,485,299,2023-12-13,4,112.76
94,121,156,2024-04-14,4,126.72
95,438,78,2023-02-17,10,130.7
96,405,149,2024-05-01,5,85.45
97,457,191,2024-10-02,10,421.9
98,98,398,2024-11-17,10,334.1
99,199,323,2022-12-25,8,286.64
100,154,475,2023-12-06,1,47.76
101,239,33,2024-04-05,10,350.6
102,318,393,2022-12-27,9,396
103,273,334,2023-07-21,9,321.12
104,368,73,2023-01-19,6,127.38
105,59,424,2023-04-09,6,243
106,159,443,2024-05-27,9,396.45
107,299,425,2024-04-14,1,24.23
108,279,307,2022-12-24,8,115.44
109,336,212,2024-07-04,1,18.69
110,30,330,2023-05-20,8,256.16
111,94,73,2023-10-01,10,212.3
112,485,391,2023-11-18,2,66.84
113,125,232,2023-08-04,6,57.72
114,344,236,2024-07-20,4,43.12
115,226,52,2023-05-05,5,82.65
116,379,110,2024-07-18,9,271.35
117,304,369,2024-06-26,7,158.55
118,145,8,2023-04-04,3,146.97
119,492,333,2024-08-14,1,27.76
120,485,377,2023-07-22,8,318.32
121,465,491,2024-09-18,3,44.61
122,313,135,2023-06-21,7,105.91
123,203,105,2024-09-25,1,30.02
124,194,208,2023-12-03,5,125
125,360,320,2023-03-02,7,35.49
126,115,58,2023-07-19,3,103.62
127,418,64,2024-04-28,9,216.9
128,428,47,2024-10-25,9,183.33
129,290,57,2023-01-21,3,70.77
130,149,120,2024-03-23,4,192.12
131,462,295,2024-02-04,4,114.64
132,339,156,2022-12-09,1,31.68
133,17,488,2023-05-17,10,491.5
134,497,309,2023-04-04,5,58.7
135,425,231,2024-03-08,6,56.22
136,301,200,2023-02-28,7,69.72
137,357,38,2024-05-12,9,148.23
138,153,91,2023-03-04,2,55.64
139,242,292,2024-07-29,3,80.82
140,415,448,2023-07-27,6,37.56
141,177,442,2024-01-23,2,96.96
142,301,378,2023-08-23,6,36.06
143,474,45,2023-01-30,8,203.92
144,163,150,2023-07-06,9,287.55
145,384,102,2024-06-01,3,120.66
146,437,443,2023-10-23,6,264.3
147,388,225,2024-07-28,2,72.08
148,14,360,2023-08-03,5,246.7
149,178,436,2023-03-19,7,111.3
150,425,219,2023-02-26,8,167.2
151,458,154,2024-02-09,6,104.64
152,159,73,2023-04-15,2,42.46
153,239,158,2023-03-19,7,172.83
154,2,118,2023-02-23,3,16.56
155,122,240,2024-03-10,8,399.2
156,325,253,2023-07-04,2,23.32
157,385,218,2023-11-25,5,26.8
158,75,124,2023-01-03,7,189.7
159,178,462,2023-08-24,1,49.23
160,26,333,2024-09-06,2,55.52
161,460,222,2023-03-02,8,236.72
162,374,491,2024-03-21,10,148.7
163,165,486,2023-01-13,2,38.26
164,230,455,2023-12-06,5,135.15
165,141,371,2023-06-23,9,156.6
166,184,334,2023-06-05,7,249.76
167,193,339,2024-03-01,6,261.06
168,161,407,2024-10-08,1,42.19
169,41,113,2023-07-25,2,12.76
170,429,143,2023-07-15,1,43.65
171,265,65,2023-01-10,10,227
172,171,171,2023-09-23,5,160.75
173,232,3,2024-01-19,3,47.25
174,247,409,2024-07-11,2,43.12
175,16,149,2024-06-15,6,102.54
176,60,394,2023-07-10,1,27.15
177,306,214,2023-01-31,7,127.12
178,36,412,2023-06-27,6,58.98
179,270,112,2023-11-08,2,16.04
180,114,386,2023-08-05,8,50.88
181,376,363,2024-04-05,8,59.84
182,172,296,2024-06-27,2,22.98
183,353,84,2024-01-31,8,356.72
184,400,88,2023-01-06,10,402.2
185,329,198,2024-06-30,7,156.66
186,281,119,2023-03-22,8,399.04
187,449,127,2024-03-09,1,11.66
188,57,105,2023-10-11,8,240.16
189,209,208,2023-04-23,10,250
190,198,80,2024-03-05,7,243.88
191,338,334,2023-10-05,3,107.04
192,185,227,2022-12-29,8,305.36
193,499,485,2023-02-19,10,231.6
194,368,133,2023-11-17,1,20.96
195,54,316,2024-11-28,4,35.24
196,107,266,2023-12-18,4,133.16
197,59,229,2024-02-06,9,184.14
198,423,31,2023-08-12,6,127.38
199,348,80,2024-02-29,6,209.04
200,339,346,2024-09-12,4,39.88
201,90,485,2023-12-09,7,162.12
202,189,348,2024-07-29,8,100.96
203,359,73,2024-08-22,10,212.3
204,382,381,2024-07-27,4,42.4
205,181,486,2023-09-13,1,19.13
206,414,269,2024-10-07,5,165.4
207,21,302,2023-10-01,4,114.68
208,96,214,2024-01-20,9,163.44
209,388,432,2024-02-11,4,35.36
210,214,154,2024-04-15,8,139.52
211,31,219,2024-08-18,2,41.8
212,321,491,2023-08-30,2,29.74
213,6,128,2023-11-13,1,24.04
214,74,163,2023-06-25,3,57.33
215,96,264,2023-04-23,2,41.02
216,198,469,2024-07-30,6,139.5
217,325,466,2023-01-06,4,148.68
218,277,471,2024-10-31,8,363.04
219,364,154,2024-11-22,6,104.64
220,23,431,2024-11-23,8,155.84
221,181,377,2023-05-11,8,318.32
222,204,339,2024-11-13,9,391.59
223,111,71,2024-11-18,9,346.5
224,276,292,2022-12-18,1,26.94
225,166,46,2024-11-16,3,99.51
226,495,31,2023-01-05,2,42.46
227,254,120,2024-04-10,2,96.06
228,357,119,2022-12-14,8,399.04
229,228,321,2024-11-02,1,24.32
230,462,40,2023-07-01,1,25.97
231,120,82,2024-04-13,7,319.9
232,8,157,2024-03-15,5,95.85
233,117,56,2024-11-15,9,70.83
234,467,390,2024-08-30,9,359.64
235,167,426,2023-06-02,10,328.2
236,258,100,2024-09-17,9,449.01
237,290,13,2023-10-29,9,126.36
238,260,373,2024-08-20,2,78.18
239,224,376,2022-12-11,6,175.56
240,200,288,2023-07-25,8,223.28
241,112,170,2024-05-07,2,22.56
242,437,77,2023-01-08,2,88.56
243,179,387,2023-08-08,3,142.26
244,123,403,2023-11-06,1,15.01
245,225,174,2024-05-30,9,340.47
246,217,406,2023-04-19,4,143.16
247,99,469,2023-07-18,2,46.5
248,449,273,2023-01-03,3,37.29
249,405,387,2023-11-15,5,237.1
250,109,490,2023-12-12,2,25.76
251,63,65,2023-09-16,9,204.3
252,131,189,2023-01-15,8,109.2
253,312,285,2023-09-09,9,248.85
254,77,142,2024-03-07,10,489.6
255,401,415,2024-11-14,2,59.02
256,386,97,2023-11-01,9,411.66
257,12,380,2024-10-28,3,39.51
258,82,350,2024-08-02,10,316.7
259,416,410,2023-06-15,9,398.97
260,119,69,2024-07-08,6,52.74
261,457,492,2023-05-30,10,440.7
262,132,307,2023-09-19,5,72.15
263,134,280,2024-02-26,6,100.68
264,47,199,2023-08-15,7,299.67
265,375,265,2024-11-04,9,419.4
266,419,459,2024-11-12,3,107.31
267,149,11,2024-11-21,5,179.75
268,403,181,2024-04-28,7,271.11
269,220,229,2024-07-26,5,102.3
270,22,384,2023-11-11,1,33.92
271,307,241,2023-09-10,7,98.42
272,82,482,2024-02-09,7,223.72
273,400,104,2024-06-07,3,31.68
274,461,308,2023-05-04,8,166
275,437,35,2024-01-25,9,286.29
276,272,115,2023-06-08,4,112.48
277,384,90,2024-07-19,4,66.24
278,213,31,2022-12-17,10,212.3
279,331,157,2023-09-19,10,191.7
280,353,219,2023-09-10,5,104.5
281,376,275,2023-07-07,1,25.83
282,186,157,2024-02-11,9,172.53
283,364,47,2024-02-13,8,162.96
284,414,142,2022-12-28,2,97.92
285,104,428,2024-02-28,4,90.92
286,461,138,2023-08-17,8,198.16
287,103,114,2024-09-04,7,50.96
288,325,447,2023-11-17,7,253.75
289,244,300,2024-04-20,2,53.74
290,397,209,2024-01-17,10,486.7
291,287,223,2023-10-14,6,39.12
292,346,449,2024-01-03,10,401.7
293,13,101,2024-05-21,6,290.94
294,194,461,2023-09-06,1,9.6
295,81,130,2023-07-19,1,6.64
296,279,457,2023-03-21,2,56.44
297,47,427,2023-05-26,3,54
298,116,110,2023-12-27,4,120.6
299,137,69,2023-12-17,8,70.32
300,67,463,2023-10-11,4,47.96
301,313,303,2023-11-23,1,6.57
302,429,18,2024-09-30,10,394.7
303,373,117,2023-06-13,1,14.87
304,256,32,2024-05-25,10,215.6
305,214,468,2023-04-03,7,214.13
306,437,241,2023-07-17,2,28.12
307,463,340,2024-11-04,5,249.9
308,474,36,2023-03-31,7,241.57
309,144,380,2024-06-24,2,26.34
310,418,390,2024-03-25,1,39.96
311,240,273,2024-07-02,4,49.72
312,107,240,2024-07-11,6,299.4
313,46,425,2023-03-13,1,24.23
314,119,275,2023-12-30,1,25.83
315,167,120,2023-04-03,7,336.21
316,15,25,2023-03-09,6,51.3
317,474,88,2024-04-30,2,80.44
318,335,371,2024-06-08,1,17.4
319,129,293,2023-11-01,7,125.51
320,8,117,2023-01-18,3,44.61
321,460,227,2023-01-20,7,267.19
322,325,52,2023-02-01,9,148.77
323,70,298,2023-05-03,10,466.6
324,378,121,2024-08-21,3,127.41
325,86,479,2023-09-19,6,229.62
326,385,103,2023-10-12,1,43.25
327,34,29,2023-12-17,4,124.48
328,399,61,2023-07-01,5,205.25
329,463,423,2024-09-20,1,25.63
330,364,397,2023-01-12,10,281.5
331,121,77,2023-05-06,10,442.8
332,81,415,2024-02-04,10,295.1
333,324,36,2023-01-11,10,345.1
334,168,442,2024-11-24,3,145.44
335,272,486,2023-09-17,6,114.78
336,382,362,2024-09-23,6,176.58
337,467,184,2024-06-27,9,47.25
338,207,384,2023-11-23,3,101.76
339,295,298,2023-05-21,7,326.62
340,227,42,2024-01-13,5,241.75
341,255,85,2023-03-27,3,58.29
342,174,51,2024-09-11,3,138.9
343,183,225,2023-07-04,3,108.12
344,166,245,2024-05-24,10,160.6
345,176,66,2024-05-27,5,141.45
346,191,397,2024-01-21,6,168.9
347,378,391,2023-10-12,5,167.1
348,484,370,2024-02-19,2,87.82
349,377,213,2023-10-27,5,33.95
350,361,288,2024-08-27,7,195.37
351,389,135,2024-01-01,10,151.3
352,39,56,2024-11-28,4,31.48
353,333,429,2024-06-16,1,42.58
354,277,285,2024-10-08,5,138.25
355,394,404,2024-04-07,4,62.6
356,340,477,2024-09-10,8,221.68
357,432,179,2024-11-10,2,96.42
358,443,201,2023-10-04,7,260.75
359,107,434,2024-04-08,2,91.16
360,107,352,2023-05-05,10,60.1
361,295,164,2022-12-13,1,41.83
362,189,26,2024-05-31,9,189.45
363,59,362,2023-12-02,3,88.29
364,474,471,2023-11-25,8,363.04
365,165,70,2023-12-31,4,93.8
366,174,99,2024-01-24,10,469.3
367,94,222,2023-04-02,7,207.13
368,232,458,2023-03-13,4,149.12
369,469,333,2023-11-22,7,194.32
370,16,1,2024-05-27,3,64.02
371,420,17,2023-05-13,1,5.37
372,364,388,2023-08-02,1,26.62
373,197,345,2024-09-17,6,155.34
374,267,295,2024-08-24,7,200.62
375,88,492,2023-12-08,2,88.14
376,196,43,2024-06-05,4,189.56
377,272,122,2024-05-17,10,307.5
378,495,437,2024-03-10,5,221.45
379,136,56,2023-02-19,6,47.22
380,27,63,2024-03-28,6,134.28
381,101,338,2023-01-14,1,10.17
382,328,148,2023-09-24,3,36.75
383,37,189,2023-01-14,3,40.95
384,385,52,2023-01-24,7,115.71
385,280,447,2024-02-27,5,181.25
386,321,136,2024-09-23,8,79.12
387,362,210,2024-02-24,3,122.79
388,80,255,2024-02-18,3,73.53
389,309,403,2022-12-28,2,30.02
390,174,450,2024-08-25,7,320.25
391,7,16,2023-04-30,1,10.07
392,486,368,2024-11-19,2,89.2
393,281,430,2024-05-25,6,71.4
394,10,330,2024-10-20,6,192.12
395,334,449,2023-10-07,3,120.51
396,125,306,2022-12-20,2,87.84
397,182,316,2024-01-18,9,79.29
398,103,21,2024-02-07,3,141.39
399,295,300,2023-05-10,9,241.83
400,154,344,2023-01-09,1,39.63
401,207,63,2023-07-14,1,22.38
402,166,250,2023-04-20,3,37.95
403,429,352,2023-12-15,1,6.01
404,408,221,2023-07-15,10,248.1
405,456,336,2023-08-09,8,192.64
406,447,426,2023-10-26,1,32.82
407,136,88,2024-07-06,6,241.32
408,366,427,2024-10-23,3,54
409,329,325,2023-02-24,5,202
410,226,142,2024-10-13,10,489.6
411,457,137,2023-12-23,6,157.98
412,305,113,2024-08-06,2,12.76
413,126,262,2023-04-16,5,105.1
414,167,435,2024-07-11,2,55.52
415,361,441,2024-04-28,3,122.16
416,75,31,2023-03-14,9,191.07
417,280,49,2024-07-05,6,297
418,457,335,2024-01-16,8,378.32
419,413,387,2023-03-08,5,237.1
420,383,325,2024-02-13,5,202
421,265,17,2023-06-04,8,42.96
422,134,28,2023-10-06,2,75.02
423,44,196,2024-07-23,5,33.45
424,497,242,2024-03-20,7,236.53
425,470,466,2024-09-02,10,371.7
426,291,375,2023-11-30,5,170.75
427,461,132,2023-04-08,10,204.6
428,411,81,2023-10-07,1,44.19
429,290,5,2024-10-19,1,10.95
430,500,438,2024-06-11,8,267.12
431,49,447,2023-05-29,6,217.5
432,261,109,2024-03-23,4,34.16
433,246,319,2023-03-21,10,426.1
434,260,129,2023-04-20,9,366.66
435,180,323,2023-09-08,8,286.64
436,54,198,2023-05-06,9,201.42
437,348,160,2024-07-19,10,344.8
438,16,469,2024-04-13,9,209.25
439,364,324,2024-04-06,5,230.4
440,405,361,2024-07-02,5,198.75
441,404,49,2023-04-26,9,445.5
442,225,188,2023-02-11,7,140.98
443,329,369,2024-12-02,7,158.55
444,24,34,2024-12-02,2,32.98
445,76,333,2024-11-06,5,138.8
446,18,281,2024-01-11,7,114.38
447,446,393,2024-09-01,3,132
448,160,242,2024-01-02,3,101.37
449,173,161,2024-05-20,7,151.2
450,155,491,2024-09-01,5,74.35
451,474,88,2024-04-06,1,40.22
452,322,336,2024-08-14,7,168.56
453,458,477,2024-02-25,5,138.55
454,6,360,2024-07-23,3,148.02
455,319,442,2023-12-08,1,48.48
456,470,67,2024-11-16,4,40.92
457,234,460,2024-07-24,5,179.4
458,199,305,2024-03-25,7,221.62
459,415,70,2023-09-19,3,70.35
460,418,147,2024-05-05,8,361.6
461,120,450,2024-07-03,2,91.5
462,488,422,2024-08-03,8,367.28
463,15,466,2023-06-26,4,148.68
464,110,411,2023-12-27,4,60.12
465,417,260,2024-01-21,9,446.31
466,303,172,2023-07-08,5,184.1
467,463,146,2024-06-27,3,43.5
468,478,253,2024-04-15,5,58.3
469,292,313,2024-12-06,4,188.64
470,386,279,2024-03-12,8,244
471,438,248,2023-09-23,6,281.94
472,305,446,2023-10-05,8,275.92
473,151,423,2024-11-27,8,205.04
474,310,156,2024-12-03,1,31.68
475,294,407,2023-06-11,1,42.19
476,265,250,2023-05-25,10,126.5
477,266,192,2023-07-10,3,145.11
478,119,301,2023-08-04,3,64.98
479,177,427,2024-06-10,3,54
480,356,287,2024-12-05,3,120.57
481,195,67,2023-07-14,1,10.23
482,496,60,2023-11-17,9,316.26
483,377,101,2024-08-07,4,193.96
484,462,481,2023-03-20,5,52.75
485,412,196,2023-10-06,8,53.52
486,127,479,2023-01-10,6,229.62
487,454,319,2023-08-24,2,85.22
488,420,180,2023-06-08,5,125.45
489,454,3,2024-06-17,2,31.5
490,131,206,2023-10-16,1,38.01
491,94,122,2024-07-09,4,123
492,109,407,2024-01-04,9,379.71
493,32,159,2024-05-07,4,144.84
494,195,467,2023-10-23,6,82.92
495,439,119,2024-10-11,5,249.4
496,14,431,2023-07-26,7,136.36
497,433,343,2023-11-25,7,301.21
498,216,261,2024-05-27,6,85.5
499,137,301,2023-01-23,10,216.6
500,84,169,2023-05-26,8,188.56
